地方频道,#genre#
广东珠江,http://58.248.112.205:8006/GD_CUCC/G_NANFANG.m3u8?Authinfo=rXkmbbZhLH3Xhx6sgXqqNexNFWuAFW4%2BJ9rhcZJgOKRkMuHjBF3unRUJIv7Am%2FX3
大湾区卫视,http://116.136.170.12/mgsp-tx.live.miguvideo.com/wd_r3/2018/nfmedia/nfws/1000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
广东珠江,http://116.136.170.12/mgsp-tx.live.miguvideo.com/wd_r3/2018/nfmedia/nfws/1000/01.m3u8?msisdn=&Channel_ID=&ContentId=&HlsSubType=&HlsProfileId=&encrypt=
大湾区卫视,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel58/index.m3u8
广东珠江,http://116.162.6.192/4403-txt.otvstream.otvcloud.com/otv/skcc/live/channel58/index.m3u8
大湾区卫视,http://38.64.72.148/hls/modn/list/4011/chunklist0.m3u8
广东珠江,http://38.64.72.148/hls/modn/list/4011/chunklist0.m3u8
大湾区卫视,https://test.zapi.us.kg/?id=gdwqws
广东珠江,https://test.zapi.us.kg/?id=gdwqws
大湾区卫视,http://27.40.16.70:8114/GD_CUCC/G_NANFANG.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace
广东珠江,http://27.40.16.70:8114/GD_CUCC/G_NANFANG.m3u8?Provider_id=&Pcontent_id=&FvSeid=ace
大湾区卫视,http://histar-proxy.isus.cc/gdwqws
广东珠江,http://histar-proxy.isus.cc/gdwqws
大湾区卫视,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
广东珠江,http://[2409:8087:1a0b:df::4020]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
大湾区卫视,http://dg8006.runqidasoftware.top:10178/stream/channelid/2234055?ticket=4ebfa350274b1b0f7d20862298a378832fd40b0c
广东珠江,http://dg8006.runqidasoftware.top:10178/stream/channelid/2234055?ticket=4ebfa350274b1b0f7d20862298a378832fd40b0c
大湾区卫视,http://php.jdshipin.com:8880/chudian.php?id=nfws
广东珠江,http://php.jdshipin.com:8880/chudian.php?id=nfws
大湾区卫视,http://64.140.167.170:8080/live/dwqws/hls.m3u8
广东珠江,http://64.140.167.170:8080/live/dwqws/hls.m3u8
大湾区卫视,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226442/index.m3u8
广东珠江,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221226442/index.m3u8
大湾区卫视,http://66.165.240.154:8080/live/tytvbs11/hls.m3u8
广东珠江,http://66.165.240.154:8080/live/tytvbs11/hls.m3u8
大湾区卫视,http://154.yfvodcdn.com:8080/live/tytvbs11/hls.m3u8
广东珠江,http://154.yfvodcdn.com:8080/live/tytvbs11/hls.m3u8
大湾区卫视,http://218.19.110.115:9999/udp/239.77.0.9:5146
广东珠江,http://218.19.110.115:9999/udp/239.77.0.9:5146
大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
广东珠江,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
大湾区卫视,http://120.40.58.9:8888/rtp/239.61.3.5:9548
广东珠江,http://120.40.58.9:8888/rtp/239.61.3.5:9548
大湾区卫视,http://223.10.24.101:8085/udp/239.1.1.69:8069
广东珠江,http://223.10.24.101:8085/udp/239.1.1.69:8069
大湾区卫视,http://tenfarr.com:4000/udp/239.77.0.215:5146
广东珠江,http://tenfarr.com:4000/udp/239.77.0.215:5146
大湾区卫视,http://116.28.124.202:8520/udp/239.77.0.215:5146
广东珠江,http://116.28.124.202:8520/udp/239.77.0.215:5146
大湾区卫视,http://116.18.39.115:4000/udp/239.77.0.215:5146
广东珠江,http://116.18.39.115:4000/udp/239.77.0.215:5146
大湾区卫视,http://183.5.96.82:8888/udp/239.77.0.215:5146
广东珠江,http://183.5.96.82:8888/udp/239.77.0.215:5146
大湾区卫视,http://113.71.148.134:5555/udp/239.77.0.215:5146
广东珠江,http://113.71.148.134:5555/udp/239.77.0.215:5146
大湾区卫视,http://59.38.62.9:2052/udp/239.77.0.215:5146
广东珠江,http://59.38.62.9:2052/udp/239.77.0.215:5146
大湾区卫视,http://119.135.126.34:4022/udp/239.77.0.215:5146
广东珠江,http://119.135.126.34:4022/udp/239.77.0.215:5146
大湾区卫视,http://59.34.139.52:4000/udp/239.77.0.215:5146
广东珠江,http://59.34.139.52:4000/udp/239.77.0.215:5146
大湾区卫视,http://125.92.102.170:8899/udp/239.77.0.215:5146
广东珠江,http://125.92.102.170:8899/udp/239.77.0.215:5146
大湾区卫视,http://113.89.247.49:4200/udp/239.77.0.215:5146
广东珠江,http://113.89.247.49:4200/udp/239.77.0.215:5146
大湾区卫视,http://116.21.125.104:7777/udp/239.77.0.1:5146
广东珠江,http://116.21.125.104:7777/udp/239.77.0.1:5146
大湾区卫视,http://113.101.119.104:808/hls/105/index.m3u8
广东珠江,http://113.101.119.104:808/hls/105/index.m3u8
大湾区卫视,http://tenfarr.com:4000/udp/239.77.0.1:5146
广东珠江,http://tenfarr.com:4000/udp/239.77.0.1:5146
大湾区卫视,http://113.101.119.119:8090/hls/105/index.m3u8
广东珠江,http://113.101.119.119:8090/hls/105/index.m3u8
大湾区卫视,http://www.zz49.top:4022/udp/239.77.0.1:5146
广东珠江,http://www.zz49.top:4022/udp/239.77.0.1:5146
大湾区卫视,http://183.17.238.99:8888/udp/239.77.0.1:5146
广东珠江,http://183.17.238.99:8888/udp/239.77.0.1:5146
大湾区卫视,http://113.101.160.134:8888/udp/239.77.0.1:5146
广东珠江,http://113.101.160.134:8888/udp/239.77.0.1:5146
大湾区卫视,http://116.21.126.59:3333/udp/239.77.0.1:5146
广东珠江,http://116.21.126.59:3333/udp/239.77.0.1:5146
大湾区卫视,http://113.110.200.194:8888/udp/239.77.0.1:5146
广东珠江,http://113.110.200.194:8888/udp/239.77.0.1:5146
大湾区卫视,http://14.117.234.110:9000/udp/239.77.0.1:5146
广东珠江,http://14.117.234.110:9000/udp/239.77.0.1:5146
大湾区卫视,http://113.74.172.147:4000/udp/239.77.0.1:5146
广东珠江,http://113.74.172.147:4000/udp/239.77.0.1:5146
大湾区卫视,http://113.93.54.144:5555/udp/239.77.0.1:5146
广东珠江,http://113.93.54.144:5555/udp/239.77.0.1:5146
大湾区卫视,http://116.18.39.115:4000/udp/239.77.0.1:5146
广东珠江,http://116.18.39.115:4000/udp/239.77.0.1:5146
大湾区卫视,http://14.221.179.51:8888/udp/239.77.0.1:5146
广东珠江,http://14.221.179.51:8888/udp/239.77.0.1:5146
大湾区卫视,http://14.19.179.48:4022/udp/239.77.0.1:5146
广东珠江,http://14.19.179.48:4022/udp/239.77.0.1:5146
大湾区卫视,http://14.19.179.158:4022/udp/239.77.0.1:5146
广东珠江,http://14.19.179.158:4022/udp/239.77.0.1:5146
大湾区卫视,http://61.140.148.82:3333/udp/239.77.0.1:5146
广东珠江,http://61.140.148.82:3333/udp/239.77.0.1:5146
大湾区卫视,http://113.103.36.10:7777/udp/239.77.0.1:5146
广东珠江,http://113.103.36.10:7777/udp/239.77.0.1:5146
大湾区卫视,http://113.93.48.96:2000/udp/239.77.0.1:5146
广东珠江,http://113.93.48.96:2000/udp/239.77.0.1:5146
大湾区卫视,http://121.13.165.98:8000/udp/239.77.0.1:5146
广东珠江,http://121.13.165.98:8000/udp/239.77.0.1:5146
大湾区卫视,http://113.83.248.110:4200/udp/239.77.0.1:5146
广东珠江,http://113.83.248.110:4200/udp/239.77.0.1:5146
大湾区卫视,http://14.19.151.72:9900/udp/239.77.0.1:5146
广东珠江,http://14.19.151.72:9900/udp/239.77.0.1:5146
大湾区卫视,http://113.110.72.52:808/hls/105/index.m3u8
广东珠江,http://113.110.72.52:808/hls/105/index.m3u8
大湾区卫视,http://113.110.72.52:8090/hls/105/index.m3u8
广东珠江,http://113.110.72.52:8090/hls/105/index.m3u8
大湾区卫视,http://113.86.205.31:8090/hls/105/index.m3u8
广东珠江,http://113.86.205.31:8090/hls/105/index.m3u8
大湾区卫视,http://14.154.195.131:4022/udp/239.77.0.1:5146
广东珠江,http://14.154.195.131:4022/udp/239.77.0.1:5146
大湾区卫视,http://59.32.96.111:8888/udp/239.77.0.1:5146
广东珠江,http://59.32.96.111:8888/udp/239.77.0.1:5146
大湾区卫视,http://183.16.210.234:4022/udp/239.77.0.1:5146
广东珠江,http://183.16.210.234:4022/udp/239.77.0.1:5146
大湾区卫视,http://113.86.205.29:808/hls/105/index.m3u8
广东珠江,http://113.86.205.29:808/hls/105/index.m3u8
大湾区卫视,http://113.101.119.31:8090/hls/105/index.m3u8
广东珠江,http://113.101.119.31:8090/hls/105/index.m3u8
